source,target,context,comment
"You can...though the view isn't as
 nice as it'd be from the front.",,[Alisa] #296,"ええ、街の裏手だから
 見栄えはあまりよくないけど。"
...This is a pretty nice view.,,[Fie] #297,…ちょっと良い眺めかも。
"Oooh... Actually, I didn't even
 know about this place.",,[Alisa] #298,"へえ…
 こんな場所があったのね。"
"Oh, a train track.",,[Fie] #299,あ、線路がある。
"That's the freight line that
 runs into the mine.",,[Alisa] #300,鉄鉱山に通じる貨物路線ね。
"*pant* I'm gonna need a rest
 before we even get there.",,[Elliot] #301,"はあはあ…
 ちょっと疲れてきたかも。"
"Yeah... I wasn't expecting
 this path to be so steep.",,[Machias] #302,"あ、ああ…
 意外と険しい道だな。"
"Man, you city slickers need to
 toughen up! Left, right, left, right!",,[Crow] #303,"都会っ子はだらしねえなぁ。
 ほれ、おいっちに、おいっちに！"
What was that...?,,[Rean] #304,なんだ……？
"By the way, did you happen to
 run into Sharon on your way out?",,[Rean] #305,"そういや、出る時に
 シャロンさんに見つからなかったか？"
"She saw me leaving, but she just
 let me go.",,[Fie] #306,"ん、気付かれたけど
 見逃してくれたっぽい。"
"Hmm... (Even the best maids
 aren't THAT all-knowing...)",,[Rean] #307,"そ、そうか……
 （本当、何者なんだろう。）"
"This is where Claire said
 to meet her, right?",,[Fie] #308,大尉さんの指定、ここだっけ。
Yeah. This looks like the place.,,[Rean] #309,ああ、そのはずだ。
(...They seem oddly cautious.),,[Fie] #310,（…妙に警戒してるね。）
"(Yeah... I wonder if it has
 something to do with the RMP.)",,[Rean] #311,（ああ…鉄道憲兵隊絡みか？）
"This was some kind of
 classy bar, I think?",,[Rean] #312,"ここは…
 たしか飲み屋だったか。"
Seems pretty lively in there.,,[Fie] #313,賑わってるみたい。
"Wow. This city's got a nice
 feel at night.",,[Rean] #314,"へえ…
 夜だと雰囲気あるな。"
Yeah... It's really pretty.,,[Fie] #315,ん…すごく綺麗かも。
"Argh. Every minute we spend here, things
 are getting worse for the miners.",,[Alisa] #316,"くっ、こうしている間にも
 鉄鉱山の人たちが…"
"Stay calm, Alisa.",,[Fie] #317,アリサ、焦りは禁物。
"Yeah. The Railway Military Police
 are on their way, after all.",,[Elliot] #318,"そうだね…
 鉄道憲兵隊も急行してるし。"
"Let's at least try and get
 a look at what's going on.",,[Rean] #319,"とにかく、様子だけでも
 確かめに行ってみよう。"
"But man, if terrorists really were
 planning to blow up the mine...",,[Crow] #320,"しっかし、テロリストがこのまま
 鉄鉱山を爆破でもしやがったら…"
"It would shake the very
 foundations of the Empire.",,[Machias] #321,"…帝国そのものの屋台骨が
 揺らぎかねませんね。"
... [[Alisa] #322],,[Alisa] #322,……………………………
"Hmm... Looks like this is just
 a one-way path.",,[Neithardt] #323,"ふむ、どうやらここは
 基本的に一本道のようだね。"
"Well, no chance of us getting lost in
 here, at least. Let's run on through.",,[Crow] #324,"迷う心配はねぇな。
 一気に突っ切るとすっか。"
"Oh, yeah... Towa's been pretty
 worried about all of you, you know?",,[Neithardt] #325,"そういえば、トワが君たちの事を
 ずいぶん心配していたよ。"
"Well, I'm glad to know she's looking
 out for us.",,[Rean] #326,そうですか…有り難いな。
"Yeah. Though I feel a little bad,
 since we're making more work for her.",,[Alisa] #327,"いつもお世話になっていますし、
 本当に頭が上がりませんね。"
"We've been walking for ages.
 How far ARE we at this point?",,[Elliot] #328,"け、けっこう歩いたけど…
 どこまで来たんだろう。"
"Judging by the distance we've traveled,
 I'd say we're about halfway.",,[Fie] #329,"ん…歩数からすると
 山道の半分くらいかな。"
H-How can you tell that...?,,[Machias] #330,"す、凄いな。
 そんなことが分かるのか。"
"This path's gotten real
 twisty all of a sudden.",,[Crow] #331,"さっきから随分と
 曲りくねってやがるな。"
"Hmm... I wonder if they built it like
 that to avoid the mine shafts...",,[Neithardt] #332,"ふむ、ひょっとしたら坑道を
 避けて通っているのかもしれない。"
"If that's true, that must
 mean we're almost there!",,[Alisa] #333,"そうなると、そろそろ
 到着しそうですね…！"
Over there!,,[Rean] #334,あ…！
Looks like we made it.,,[Neithardt] #335,よし、ゴールだな。
Ahhhhhh... This is pure bliss. ㈱,,[Neithardt] #336,うーん、眼福、眼福㈱
"Stop that, Angelica!",,[Alisa] #337,ア、アンゼリカさんっ…！
"Just kiddin' around. I love it
 when you're angry.",,[Neithardt] #338,"冗談だよ。
 怒った顔も可愛いね。"
"I swear, this girl...",,[Crow] #339,ったく、この女だけは…
"Looks like this place is crawling
 with archaisms, just like Garrelia.",,[Machias] #340,"やはりガレリア要塞と同じように
 人形兵器が放たれているようだな…"
"There's some monsters I didn't see
 when we were here yesterday, too.",,[Elliot] #341,"昨日は見かけなかった
 魔獣もいるみたいだけど…"
"They must have brought them in
 from outside. Be careful!",,[Rean] #342,"外から引き込んだのかもしれない。
 …気を引き締めて行こう！"
"There's the exit. Looks like the
 gate's been shut.",,[Fie] #343,"鉱山の出口…
 ゲートが閉じてるね。"
"So the provincial army and the RMP are
 having their shouting match out there...",,[Machias] #344,"この向こうで、領邦軍と
 鉄道憲兵隊が睨み合ってるのか…"
"Let's just leave them to it.
 We need to head further in.",,[Neithardt] #345,"こちらはいい。
 奥に進むとしよう。"
Huh? A dead end?,,[Elliot] #346,あれっ、行き止まり？
"Maybe not. We walked past
 a ladder not too long ago.",,[Neithardt] #347,"いや、少し手前に
 上に登る梯子があったはずだ。"
Let's go back and find it.,,[Rean] #348,探してみましょう。
"Yep, this is the one. Climbing
 this should take us further in.",,[Neithardt] #349,"うん、ここを登れば
 さらに奥まで行けるはずだ。"
...There we go.,,[Fie] #350,ん…これでヨシ。
Almost there... Just a little further now!,,[Alisa] #351,終点は近いわ…行きましょう！
Umm... Rean...?,,[Emma] #352,その…リィンさん。
"Hold onto that thought for now.
 Let's just keep moving.",,[Rean] #353,"今はいいさ。
 とにかく先に進もう。"
...Right!,,[Emma] #354,…はい！
Meow.,,[Celine] #355,ニャア。
Meeeow... Mrrowr.,,[Celine] #356,にゃああ…にゃおん。
"...I know. I'll be careful, I promise.",,[Emma] #357,"…分かってる。
 くれぐれも気をつけるから。"
"(I always get this feeling like Emma
 can actually understand Celine...)",,[Rean] #358,"（薄々気付いていたけど…
  委員長、セリーヌと喋れるのか？）"
*hiss*,,[Celine] #359,ふしゃああ…
This looks like... [[Rean] #360],,[Rean] #360,ここは…
I can sense something inside.,,[Emma] #361,"気配を感じる…
 何かがあるみたいですね。"
This looks like a nice spot.,,[Rean] #362,うん、ここなら釣れそうだな。
"Oooh, this looks like a good spot.",,[Rean] #363,おっ、いいポイントみたいだな。
"All right, let's get started.",,[Alisa] #364,さあ、行きましょう。
Looks like we've still got a ways to go.,,[Alisa] #365,まだ先があるみたいね。
Whew... This is the end.,,[Alisa] #366,ふう、ここが終点ね。
Ah! It's a treasure chest! ♪,,[Alisa] #367,あ、宝箱発見♪
"That looks like a strong one...
 Be careful.",,[Alisa] #368,強そうね…注意しないと。
What's that? It's so shiny...,,[Alisa] #369,何かしら…あの光ってるの…
Onward!,,[Laura] #370,さあ、行くとしようか。
Let's keep up the pace.,,[Laura] #371,うむ、この調子で進むとしよう。
We appear to have reached the exit.,,[Laura] #372,フフ、どうやら終点のようだな。
Is that a treasure chest?,,[Laura] #373,ふむ、宝箱か。
"A challenging foe. We should engage
 it with care.",,[Laura] #374,難敵だな…心してかかるとしよう。
What's that strange shining creature?,,[Laura] #375,むむっ…あの輝くモノは…
"Please be careful, everyone.",,[Emma] #376,皆さん、気をつけて行きましょう。
"I wonder if we're around halfway
 through now.",,[Emma] #377,ようやく中間地点でしょうか…
"*sigh* It looks like we've
 finally made it to the end.",,[Emma] #378,はぁ、やっと終点みたいですね。
"Oh, that's a beautiful-looking
 treasure chest.",,[Emma] #379,あ、立派な宝箱です。
This monster seems dangerous. Be careful!,,[Emma] #380,危険度大…どうか気をつけて！
"Oh? I wonder what that strange
 glow is...",,[Emma] #381,あら、あの光っているのって…？
Let's go.,,[Fie] #382,それじゃ、行こっか。
"We're still not done?
 *sigh* What a pain.",,[Fie] #383,まだあるのか…めんどいな。
"Oh, there's the end.",,[Fie] #384,ん、終点みたいだね。
I spy treasure.,,[Fie] #385,お宝見っけ。
"That one looks annoying.
 Watch out.",,[Fie] #386,厄介そう…気をつけた方がいいかも。
So shiny... What is it?,,[Fie] #387,キラキラしてる…なんだろ？
Let's go go gooo!,,[Millium] #388,さー、どんどん進んでいこう！
Huh? There's more to go?,,[Millium] #389,んー、まだまだ続くみたいだねー。
"Oooh, this looks like the end!",,[Millium] #390,あ、ここが終点じゃない？
"Yaaay, treasure!",,[Millium] #391,お宝はっけーん！
"Oooh, that one looks tough.",,[Millium] #392,お、なかなか強そーだね。
Whoa! Look at that shiny thing!,,[Millium] #393,わわっ、キラキラしてるのがいる！
Let's go go gooo! [[Altina] #394],,[Altina] #394,さー、どんどん進んでいこう！
Huh? There's more to go? [[Altina] #395],,[Altina] #395,んー、まだまだ続くみたいだねー。
"Oooh, this looks like the end! [[Altina] #396]",,[Altina] #396,あ、ここが終点じゃない？
"Yaaay, treasure! [[Altina] #397]",,[Altina] #397,お宝はっけーん！
"Oooh, that one looks tough. [[Altina] #398]",,[Altina] #398,お、なかなか強そーだね。
Whoa! Look at that shiny thing! [[Altina] #399],,[Altina] #399,わわっ、キラキラしてるのがいる！
"Let's be careful, everyone.",,[Elliot] #400,よ、よーし、気をつけて行こう。
"Oh, boy... There's more?",,[Elliot] #401,うう、まだ続いてるみたいだね…
Yaaay! We're at the end!,,[Elliot] #402,よかった～、終点みたいだ！
"Oh, a treasure chest!",,[Elliot] #403,あ、宝箱だよ！
"That looks like a tough one.
 Be careful!",,[Elliot] #404,強そうなのがいる…気をつけないと。
Whoa! What's that shiny thing?,,[Elliot] #405,わわっ、あのキラキラしたのって…？
"All right, time to commence our
 investigation.",,[Machias] #406,さあ、探索を始めよう。
We're not through yet. Stay alert.,,[Machias] #407,まだ続くのか…慎重に行こう。
All right! We're finally through.,,[Machias] #408,よーし、終点みたいだな。
"Oh, what a nice-looking treasure chest.",,[Machias] #409,おっ、良さそうな宝箱だ。
A dangerous foe. Stay on guard!,,[Machias] #410,強敵を発見…警戒を怠るな！
What is that glowing creature...?,,[Machias] #411,な、なんだあの光っているのは…？
We should proceed onward.,,[Gaius] #412,さて、とっとと行くとするか。
There's more. Stay alert.,,[Gaius] #413,まだ続くか…気を抜くな。
Hmph. We're finally done.,,[Gaius] #414,フッ、ここが終点のようだな。
"Oh, a treasure chest.",,[Gaius] #415,ほう、宝箱か。
It's enormous... Stay on guard!,,[Gaius] #416,でかいな…心してかかるぞ。
What is that bizarre creature?,,[Gaius] #417,なんだ、あの奇妙なモノは…？
It's time to begin our investigation.,,[Jusis] #418,さて、探索を始めるとしよう。
"Hmm... We still seem to have a
 ways to go.",,[Jusis] #419,む…まだ続いているようだな。
Haha. We made it through.,,[Jusis] #420,フフ、どうやら終点のようだな。
"Huh. There seems to be
 a treasure chest here.",,[Jusis] #421,おや…宝箱があるな。
"What a large monster...
 We'll need to be careful.",,[Jusis] #422,大きいな…気をつけて当たろう。
What is that strange glow?,,[Jusis] #423,なんだ、あの輝きは…？
"All right, let's get exploring!",,[Crow] #424,おーし、どんどん進むとしようぜ。
"Aww, man. We're still not through?",,[Crow] #425,なんだ、まだ続いてんのか？
Whew... We're finally done.,,[Crow] #426,やれやれ、終点みてぇだな。
"*whistle* Now THAT'S what I call
 a chest!",,[Crow] #427,ヒュウ、お宝発見♪
Looks like a tough one. Watch out!,,[Crow] #428,ヤバイのがいるな…気をつけろ！
Whoa! What's that shiny thing? [[Crow] #429],,[Crow] #429,なんだぁ、あの光ってやがるのは…！？
